Product Name,URL,Price
AmazonBasics Ventilated Laptop Stand (Black),/AmazonBasics-Ventilated-Laptop-Stand-Black/dp/B00WRDS8H0/ref=sr_1_20?crid=15INFDM7Y2K5T&keywords=laptops+under+40000+rupees&qid=1559462159&s=gateway&sprefix=laptops%2Caps%2C310&sr=8-20,759
"Asus E203 E203MAH-FD005T 11.6-inch Laptop (Celeron N4000/4GB/500GB/Windows 10/Integrated Graphics), Star Grey",/Asus-E203MAH-FD005T-11-6-inch-Integrated-Graphics/dp/B07JBVW8HN/ref=sr_1_19?crid=15INFDM7Y2K5T&keywords=laptops+under+40000+rupees&qid=1559462459&s=gateway&sprefix=laptops%2Caps%2C310&sr=8-19,"19,457"
"Acer One AO-Z422 14-inch Laptop (A4-3350B/4GB/1TB/Linux/Integrated Graphics), Black",/Acer-AO-Z422-A4-3350B-Integrated-Graphics/dp/B07R7CCPLB/ref=sr_1_20?crid=15INFDM7Y2K5T&keywords=laptops+under+40000+rupees&qid=1559462459&s=gateway&sprefix=laptops%2Caps%2C310&sr=8-20,"17,420"
"Lenovo Ideapad 330S AMD A6 14-inch Thin and Light Laptop (4GB/1TB HDD/Windows 10 Home/Platinum Grey/ 1.6kg), 81F8001CIN",/Lenovo-Ideapad-14-inch-Platinum-81F8001CIN/dp/B07FYP2PT4/ref=sr_1_21?crid=15INFDM7Y2K5T&keywords=laptops+under+40000+rupees&qid=1559462459&s=gateway&sprefix=laptops%2Caps%2C310&sr=8-21,"23,990"
"Lenovo Ideapad 330S 81F40165IN 14-inch Laptop (8th Gen Core i3-8130U/4GB/256GB/Windows 10/Integrated Graphics), Platinum Gray",/Lenovo-81F40165IN-i3-8130U-Integrated-Graphics/dp/B07MCD3W7N/ref=sr_1_22?crid=15INFDM7Y2K5T&keywords=laptops+under+40000+rupees&qid=1559462459&s=gateway&sprefix=laptops%2Caps%2C310&sr=8-22,"35,139"
"HP 15 Core i3 7th gen 15.6-inch Laptop (4GB/1TB HDD/Windows 10 Home/Natural Silver/2.04 kg), 15-DA0326TU",/HP-15-6-inch-Windows-Natural-15-DA0326TU/dp/B07FV57FC1/ref=sr_1_23?crid=15INFDM7Y2K5T&keywords=laptops+under+40000+rupees&qid=1559462459&s=gateway&sprefix=laptops%2Caps%2C310&sr=8-23,"31,324"
"Acer Aspire 3 A315-41 15.6-inch Laptop (Ryzen 5/4GB/1TB/Windows 10 Home/Integrated Graphics), Obsidian Black",/Acer-A315-41-15-6-inch-Integrated-Graphics/dp/B07K718T5Z/ref=sr_1_24?crid=15INFDM7Y2K5T&keywords=laptops+under+40000+rupees&qid=1559462459&s=gateway&sprefix=laptops%2Caps%2C310&sr=8-24,"28,899"
Ebee Brown Laptop Table with Drawer,/Ebee-Brown-Wooden-Table-Drawer/dp/B06XN57S3L/ref=sr_1_25?crid=15INFDM7Y2K5T&keywords=laptops+under+40000+rupees&qid=1559462459&s=gateway&sprefix=laptops%2Caps%2C310&sr=8-25,898
"HP 15 Pentium 15.6-inch Laptop (4GB/1TB HDD/Windows 10 Home/Jet Black /2.04 kg), 15q-ds0002TU",/HP-Pentium-15-6-inch-Windows-15q-ds0002TU/dp/B07DYDSWSF/ref=sr_1_26?crid=15INFDM7Y2K5T&keywords=laptops+under+40000+rupees&qid=1559462459&s=gateway&sprefix=laptops%2Caps%2C310&sr=8-26,"22,490"
"HP 15 db0209au 15.6-inch Laptop (A4-9125/4GB/1TB/Windows 10/Integrated Graphics), Jet Black",/HP-db0209au-15-6-inch-Integrated-Graphics/dp/B07MMF8LZ4/ref=sr_1_27?crid=15INFDM7Y2K5T&keywords=laptops+under+40000+rupees&qid=1559462459&s=gateway&sprefix=laptops%2Caps%2C310&sr=8-27,"20,990"
